"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,河東里,402,234051,12495,2644,177053,10239,2482,1237,316,25223,590,1078,0,693,133533,190531,80
,中山里,560,370638,6898,6655,300537,12368,5480,112,362,34685,989,2015,0,537,233490,303591,169
,中竹里,212,128437,5109,584,106230,3403,1079,29,107,10723,0,1066,0,108,79076,101282,20
,東溪里,324,220480,10712,2496,154288,7060,4524,569,145,38700,0,1955,23,8,117661,183853,321
,西溪里,522,362072,14742,3776,257200,17175,7360,126,182,58652,19,2099,0,742,195924,300796,125
,湖東里,1275,974530,33114,31943,750810,42609,10877,3284,727,90807,953,8646,0,760,595525,819244,352
,頂庄里,160,100118,3975,1523,73885,3650,1890,30,172,14565,0,386,0,42,54459,80692,26
,忠覺里,351,238629,5501,3185,194711,10393,2853,54,261,19167,89,1982,154,279,150619,194411,404
,湳底里,132,123520,4253,804,76264,5268,594,66,86,35640,0,535,0,10,59429,106685,2
,大庭里,343,227172,6558,1934,190382,11722,1796,419,161,12421,31,1090,77,582,147807,184521,484
,媽厝里,248,161611,6552,2650,125814,7690,863,730,37,15986,25,1215,0,47,98458,134255,6
,西勢里,527,348990,10780,2099,276313,11849,6814,1423,929,34203,0,4458,0,122,210237,282914,20
,番婆里,392,253978,10712,4282,186598,11568,3693,347,323,32641,21,3767,0,26,141992,209372,89
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11861,8754345,276906,199604,6397785,413093,126425,22051,8701,1225020,4335,67876,427,12121,4978927,7335279,5411
田中鎮,香山里,175,110088,2451,1709,96878,2940,767,87,58,3947,72,866,0,315,75574,88784,50
,碧峰里,204,134981,3419,759,111360,7390,1606,12,86,7428,72,1197,0,1652,86200,109821,0
,東源里,173,113589,2164,1879,97676,4322,662,117,194,5147,0,1412,0,16,77055,92973,30
,復興里,400,263014,11463,3404,224821,10108,2034,147,242,9112,22,1581,0,80,175735,213928,4
,平和里,356,222530,7143,4402,180835,9141,1478,121,170,17137,67,1708,0,328,137515,179210,8
,頂潭里,355,258424,4665,4055,213883,8747,1634,174,129,21986,0,1916,0,1235,168112,212653,52
,中潭里,464,318786,8151,1495,270503,11240,1812,543,590,21153,226,2992,0,82,214105,262388,26
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
